response_id	id	condition	response_num	num_cum_ideas	num_cum_categories	run_id	num_responses_requested	user_id
[u'00cad8285a944ceaf5334e307476c4e0aab1544d697e643b1953870e', u'2013-09-10 23:50:50', 5, 0]	6911	5	0	1	1	[u'00cad8285a944ceaf5334e307476c4e0aab1544d697e643b1953870e', u'2013-09-10 23:50:50', 5]	5	00cad8285a944ceaf5334e307476c4e0aab1544d697e643b1953870e
[u'00cad8285a944ceaf5334e307476c4e0aab1544d697e643b1953870e', u'2013-09-10 23:50:50', 5, 1]	7268	5	1	2	2	[u'00cad8285a944ceaf5334e307476c4e0aab1544d697e643b1953870e', u'2013-09-10 23:50:50', 5]	5	00cad8285a944ceaf5334e307476c4e0aab1544d697e643b1953870e
[u'00cad8285a944ceaf5334e307476c4e0aab1544d697e643b1953870e', u'2013-09-10 23:50:50', 5, 3]	8764	5	2	3	3	[u'00cad8285a944ceaf5334e307476c4e0aab1544d697e643b1953870e', u'2013-09-10 23:50:50', 5]	5	00cad8285a944ceaf5334e307476c4e0aab1544d697e643b1953870e
[u'00cad8285a944ceaf5334e307476c4e0aab1544d697e643b1953870e', u'2013-09-10 23:50:50', 5, 2]	9141	5	3	4	4	[u'00cad8285a944ceaf5334e307476c4e0aab1544d697e643b1953870e', u'2013-09-10 23:50:50', 5]	5	00cad8285a944ceaf5334e307476c4e0aab1544d697e643b1953870e
[u'00cad8285a944ceaf5334e307476c4e0aab1544d697e643b1953870e', u'2013-09-10 23:50:50', 5, 4]	9142	5	4	5	5	[u'00cad8285a944ceaf5334e307476c4e0aab1544d697e643b1953870e', u'2013-09-10 23:50:50', 5]	5	00cad8285a944ceaf5334e307476c4e0aab1544d697e643b1953870e
[u'071820926bb02e082382aa93df5cb2046b133ab256b6b6b7114ed459', u'2013-09-03 12:12:21', 5, 1]	6729	5	5	6	6	[u'071820926bb02e082382aa93df5cb2046b133ab256b6b6b7114ed459', u'2013-09-03 12:12:21', 5]	5	071820926bb02e082382aa93df5cb2046b133ab256b6b6b7114ed459
[u'071820926bb02e082382aa93df5cb2046b133ab256b6b6b7114ed459', u'2013-09-03 12:12:21', 5, 3]	6764	5	6	7	7	[u'071820926bb02e082382aa93df5cb2046b133ab256b6b6b7114ed459', u'2013-09-03 12:12:21', 5]	5	071820926bb02e082382aa93df5cb2046b133ab256b6b6b7114ed459
[u'071820926bb02e082382aa93df5cb2046b133ab256b6b6b7114ed459', u'2013-09-03 12:12:21', 5, 4]	6826	5	7	8	8	[u'071820926bb02e082382aa93df5cb2046b133ab256b6b6b7114ed459', u'2013-09-03 12:12:21', 5]	5	071820926bb02e082382aa93df5cb2046b133ab256b6b6b7114ed459
[u'071820926bb02e082382aa93df5cb2046b133ab256b6b6b7114ed459', u'2013-09-03 12:12:21', 5, 2]	7098	5	8	9	8	[u'071820926bb02e082382aa93df5cb2046b133ab256b6b6b7114ed459', u'2013-09-03 12:12:21', 5]	5	071820926bb02e082382aa93df5cb2046b133ab256b6b6b7114ed459
[u'071820926bb02e082382aa93df5cb2046b133ab256b6b6b7114ed459', u'2013-09-03 12:12:21', 5, 0]	7261	5	9	9	8	[u'071820926bb02e082382aa93df5cb2046b133ab256b6b6b7114ed459', u'2013-09-03 12:12:21', 5]	5	071820926bb02e082382aa93df5cb2046b133ab256b6b6b7114ed459
