tuple_id	id	condition	response_num	num_cum_ideas	num_cum_categories
[u'00cad8285a944ceaf5334e307476c4e0aab1544d697e643b1953870e', u'2013-09-10 23:50:50', 5, 0]	7492	5	0	1	1
[u'00cad8285a944ceaf5334e307476c4e0aab1544d697e643b1953870e', u'2013-09-10 23:50:50', 5, 1]	7871	5	1	2	2
[u'00cad8285a944ceaf5334e307476c4e0aab1544d697e643b1953870e', u'2013-09-10 23:50:50', 5, 3]	9429	5	2	3	3
[u'00cad8285a944ceaf5334e307476c4e0aab1544d697e643b1953870e', u'2013-09-10 23:50:50', 5, 2]	9849	5	3	4	4
[u'00cad8285a944ceaf5334e307476c4e0aab1544d697e643b1953870e', u'2013-09-10 23:50:50', 5, 4]	9850	5	4	5	5
[u'071820926bb02e082382aa93df5cb2046b133ab256b6b6b7114ed459', u'2013-09-03 12:12:21', 5, 1]	7302	5	5	6	6
[u'071820926bb02e082382aa93df5cb2046b133ab256b6b6b7114ed459', u'2013-09-03 12:12:21', 5, 3]	7339	5	6	7	7
[u'071820926bb02e082382aa93df5cb2046b133ab256b6b6b7114ed459', u'2013-09-03 12:12:21', 5, 4]	7402	5	7	8	8
[u'071820926bb02e082382aa93df5cb2046b133ab256b6b6b7114ed459', u'2013-09-03 12:12:21', 5, 2]	7687	5	8	9	8
[u'071820926bb02e082382aa93df5cb2046b133ab256b6b6b7114ed459', u'2013-09-03 12:12:21', 5, 0]	7864	5	9	9	8
[u'0ec41fda932296266cca04b0db8229e6e841ab29073673462572dfb1', u'2013-09-10 21:25:52', 5, 0]	4906	5	10	10	9
[u'0ec41fda932296266cca04b0db8229e6e841ab29073673462572dfb1', u'2013-09-10 21:25:52', 5, 2]	5044	5	11	11	10
[u'0ec41fda932296266cca04b0db8229e6e841ab29073673462572dfb1', u'2013-09-10 21:25:52', 5, 3]	7488	5	12	11	10
[u'0ec41fda932296266cca04b0db8229e6e841ab29073673462572dfb1', u'2013-09-10 21:25:52', 5, 4]	7519	5	13	12	11
[u'0ec41fda932296266cca04b0db8229e6e841ab29073673462572dfb1', u'2013-09-10 21:25:52', 5, 1]	7869	5	14	12	11
[u'1517927e6aed4acd866e50acd1ce47703d2bf6adc296047e55612094', u'2013-09-03 11:08:18', 5, 3]	8389	5	15	13	12
[u'1517927e6aed4acd866e50acd1ce47703d2bf6adc296047e55612094', u'2013-09-03 11:08:18', 5, 2]	8698	5	16	14	13
[u'1517927e6aed4acd866e50acd1ce47703d2bf6adc296047e55612094', u'2013-09-03 11:08:18', 5, 0]	9385	5	17	15	14
[u'1517927e6aed4acd866e50acd1ce47703d2bf6adc296047e55612094', u'2013-09-03 11:08:18', 5, 4]	9386	5	18	15	14
[u'1517927e6aed4acd866e50acd1ce47703d2bf6adc296047e55612094', u'2013-09-03 11:08:18', 5, 1]	9389	5	19	16	14
[u'1641b4fc01bafd9af5df3eb677a7171c701a69294f527d02280788a9', u'2013-07-18 20:37:00', 5, 2]	7286	5	20	16	14
[u'1641b4fc01bafd9af5df3eb677a7171c701a69294f527d02280788a9', u'2013-07-18 20:37:00', 5, 3]	7942	5	21	17	15
[u'1641b4fc01bafd9af5df3eb677a7171c701a69294f527d02280788a9', u'2013-07-18 20:37:00', 5, 0]	8223	5	22	18	15
[u'1641b4fc01bafd9af5df3eb677a7171c701a69294f527d02280788a9', u'2013-07-18 20:37:00', 5, 1]	8572	5	23	19	15
[u'1641b4fc01bafd9af5df3eb677a7171c701a69294f527d02280788a9', u'2013-07-18 20:37:00', 5, 4]	8583	5	24	20	16
[u'18d2e9c57f6bd4a4dc3bcdeb1c8b4db925987f7b54cbbbc0a1d88583', u'2013-09-11 19:13:30', 5, 3]	5109	5	25	21	16
[u'18d2e9c57f6bd4a4dc3bcdeb1c8b4db925987f7b54cbbbc0a1d88583', u'2013-09-11 19:13:30', 5, 2]	7669	5	26	22	16
[u'18d2e9c57f6bd4a4dc3bcdeb1c8b4db925987f7b54cbbbc0a1d88583', u'2013-09-11 19:13:30', 5, 4]	9399	5	27	23	16
[u'18d2e9c57f6bd4a4dc3bcdeb1c8b4db925987f7b54cbbbc0a1d88583', u'2013-09-11 19:13:30', 5, 0]	9965	5	28	24	16
[u'18d2e9c57f6bd4a4dc3bcdeb1c8b4db925987f7b54cbbbc0a1d88583', u'2013-09-11 19:13:30', 5, 1]	9966	5	29	25	17
[u'1dc55e86c7ea6ee9937effb74a9813b9548b6d04bb013a547b7d883d', u'2013-09-11 17:10:21', 5, 1]	4805	5	30	26	18
[u'1dc55e86c7ea6ee9937effb74a9813b9548b6d04bb013a547b7d883d', u'2013-09-11 17:10:21', 5, 2]	7617	5	31	27	19
[u'1dc55e86c7ea6ee9937effb74a9813b9548b6d04bb013a547b7d883d', u'2013-09-11 17:10:21', 5, 4]	7668	5	32	27	19
[u'1dc55e86c7ea6ee9937effb74a9813b9548b6d04bb013a547b7d883d', u'2013-09-11 17:10:21', 5, 0]	8890	5	33	28	20
[u'1dc55e86c7ea6ee9937effb74a9813b9548b6d04bb013a547b7d883d', u'2013-09-11 17:10:21', 5, 3]	9726	5	34	29	20
[u'24578a327cff0fcfa31545526fc70796cff61e433f02a9d0f28cd156', u'2013-07-18 07:17:52', 5, 0]	5019	5	35	29	20
[u'24578a327cff0fcfa31545526fc70796cff61e433f02a9d0f28cd156', u'2013-07-18 07:17:52', 5, 1]	8546	5	36	30	20
[u'24578a327cff0fcfa31545526fc70796cff61e433f02a9d0f28cd156', u'2013-07-18 07:17:52', 5, 2]	8553	5	37	31	20
[u'2af4ef40aba147dd99b607d764b21fbedd1a1f2d83a5f336509b1a79', u'2013-09-10 21:00:11', 5, 4]	5042	5	38	31	20
[u'2af4ef40aba147dd99b607d764b21fbedd1a1f2d83a5f336509b1a79', u'2013-09-10 21:00:11', 5, 1]	7918	5	39	32	21
[u'2af4ef40aba147dd99b607d764b21fbedd1a1f2d83a5f336509b1a79', u'2013-09-10 21:00:11', 5, 0]	8889	5	40	32	21
[u'2af4ef40aba147dd99b607d764b21fbedd1a1f2d83a5f336509b1a79', u'2013-09-10 21:00:11', 5, 3]	9432	5	41	33	22
[u'2af4ef40aba147dd99b607d764b21fbedd1a1f2d83a5f336509b1a79', u'2013-09-10 21:00:11', 5, 2]	9806	5	42	34	23
[u'2d747c676f2a04cb5e716f30f2b56875e208d0e678e18930cde42bb0', u'2013-09-10 21:36:42', 5, 0]	4907	5	43	34	23
